_reserved_, f049
alien, f075
celsius, f03c
cloud, f041
cloud-down, f03d
cloud-refresh, f03e
cloud-up, f040
cloudy, f013
cloudy-gusts, f011
cloudy-windy, f012
day-cloudy, f002
day-cloudy-gusts, f000
day-cloudy-windy, f001
day-fog, f003
day-hail, f004
day-haze, f0b6
day-lightning, f005
day-rain, f008
day-rain-mix, f006
day-rain-wind, f007
day-showers, f009
day-sleet, f0b2
day-sleet-storm, f068
day-snow, f00a
day-snow-thunderstorm, f06b
day-snow-wind, f065
day-sprinkle, f00b
day-storm-showers, f00e
day-sunny, f00d
day-sunny-overcast, f00c
day-thunderstorm, f010
day-windy, f085
degrees, f042
direction-down, f044
direction-down-left, f043
direction-down-right, f088
direction-left, f048
direction-right, f04d
direction-up, f058
direction-up-left, f087
direction-up-right, f057
dust, f063
fahrenheit, f045
fog, f014
hail, f015
horizon, f047
horizon-alt, f046
hot, f072
hurricane, f073
lightning, f016
lunar-eclipse, f070
meteor, f071
moon-3rd-quarter, f0aa
moon-first-quarter, f09c
moon-full, f0a3
moon-new, f095
moon-waning-crescent-1, f0ab
moon-waning-crescent-2, f0ac
moon-waning-crescent-3, f0ad
moon-waning-crescent-4, f0ae
moon-waning-crescent-5, f0af
moon-waning-crescent-6, f0b0
moon-waning-gibbous-1, f0a4
moon-waning-gibbous-2, f0a5
moon-waning-gibbous-3, f0a6
moon-waning-gibbous-4, f0a7
moon-waning-gibbous-5, f0a8
moon-waning-gibbous-6, f0a9
moon-waxing-cresent-1, f096
moon-waxing-cresent-2, f097
moon-waxing-cresent-3, f098
moon-waxing-cresent-4, f099
moon-waxing-cresent-5, f09a
moon-waxing-cresent-6, f09b
moon-waxing-gibbous-1, f09d
moon-waxing-gibbous-2, f09e
moon-waxing-gibbous-3, f09f
moon-waxing-gibbous-4, f0a0
moon-waxing-gibbous-5, f0a1
moon-waxing-gibbous-6, f0a2
night-alt-cloudy, f086
night-alt-cloudy-gusts, f022
night-alt-cloudy-windy, f023
night-alt-hail, f024
night-alt-lightning, f025
night-alt-rain, f028
night-alt-rain-mix, f026
night-alt-rain-wind, f027
night-alt-showers, f029
night-alt-sleet, f0b4
night-alt-sleet-storm, f06a
night-alt-snow, f02a
night-alt-snow-thunderstorm, f06d
night-alt-snow-wind, f067
night-alt-sprinkle, f02b
night-alt-storm-showers, f02c
night-alt-thunderstorm, f02d
night-clear, f02e
night-cloudy, f031
night-cloudy-gusts, f02f
night-cloudy-windy, f030
night-fog, f04a
night-hail, f032
night-lightning, f033
night-partly-cloudy, f083
night-rain, f036
night-rain-mix, f034
night-rain-wind, f035
night-showers, f037
night-sleet, f0b3
night-sleet-storm, f069
night-snow, f038
night-snow-thunderstorm, f06c
night-snow-wind, f066
night-sprinkle, f039
night-storm-showers, f03a
night-thunderstorm, f03b
rain, f019
rain-mix, f017
rain-wind, f018
refresh, f04c
refresh-alt, f04b
showers, f01a
sleet, f0b5
smog, f074
smoke, f062
snow, f01b
snow-wind, f064
snowflake-cold, f076
solar-eclipse, f06e
sprinkle, f01c
sprinkles, f04e
stars, f077
storm-showers, f01d
strong-wind, f050
sunrise, f051
sunset, f052
thermometer, f055
thermometer-exterior, f053
thermometer-internal, f054
thunderstorm, f01e
time-1, f08a
time-10, f093
time-11, f094
time-12, f089
time-2, f08b
time-3, f08c
time-4, f08d
time-5, f08e
time-6, f08f
time-7, f090
time-8, f091
time-9, f092
tornado, f056
umbrella, f084
wind-default, f0b1
wind-east, f061
wind-north, f060
wind-north-east, f05e
wind-north-west, f05d
wind-south, f05c
wind-south-east, f05b
wind-south-west, f05a
wind-west, f059
windy, f021;