towards,n,f0b1,0
towards,nne,f0b1,23
towards,ne,f0b1,45
towards,ene,f0b1,68
towards,e,f0b1,90
towards,ese,f0b1,113
towards,se,f0b1,135
towards,sse,f0b1,158
towards,s,f0b1,180
towards,ssw,f0b1,203
towards,sw,f0b1,225
towards,wsw,f0b1,248
towards,w,f0b1,270
towards,wnw,f0b1,293
towards,nw,f0b1,313
towards,nnw,f0b1,336
from,n,f0b1,180
from,nne,f0b1,203
from,ne,f0b1,225
from,ene,f0b1,248
from,e,f0b1,270
from,ese,f0b1,293
from,se,f0b1,313
from,sse,f0b1,336
from,s,f0b1,0
from,ssw,f0b1,23
from,sw,f0b1,45
from,wsw,f0b1,68
from,w,f0b1,90
from,wnw,f0b1,113
from,nw,f0b1,135
from,nnw,f0b1,158